2023-05-16 13:38:47 status half-installed libpsl5:arm64 0.21.0-1.2
2023-05-16 13:38:48 status unpacked libpsl5:arm64 0.21.0-1.2
2023-05-16 13:38:49 install librtmp1:arm64 <none> 2.4+20151223.gitfa8646d.1-2+b2
2023-05-16 13:38:49 status half-installed librtmp1:arm64 2.4+20151223.gitfa8646d.1-2+b2
2023-05-16 13:38:49 status unpacked librtmp1:arm64 2.4+20151223.gitfa8646d.1-2+b2
2023-05-16 13:38:49 install libssh2-1:arm64 <none> 1.9.0-2
2023-05-16 13:38:49 status half-installed libssh2-1:arm64 1.9.0-2
2023-05-16 13:38:50 status unpacked libssh2-1:arm64 1.9.0-2
2023-05-16 13:38:52 install libcurl4:arm64 <none> 7.74.0-1.3+deb11u7
2023-05-16 13:38:52 status half-installed libcurl4:arm64 7.74.0-1.3+deb11u7
2023-05-16 13:38:52 status unpacked libcurl4:arm64 7.74.0-1.3+deb11u7
2023-05-16 13:38:53 install curl:arm64 <none> 7.74.0-1.3+deb11u7
2023-05-16 13:38:53 status half-installed curl:arm64 7.74.0-1.3+deb11u7
2023-05-16 13:38:54 status unpacked curl:arm64 7.74.0-1.3+deb11u7
2023-05-16 13:38:56 install libassuan0:arm64 <none> 2.5.3-7.1
2023-05-16 13:38:56 status half-installed libassuan0:arm64 2.5.3-7.1
2023-05-16 13:38:57 status unpacked libassuan0:arm64 2.5.3-7.1
2023-05-16 13:38:58 install gpgconf:arm64 <none> 2.2.27-2+deb11u2
2023-05-16 13:38:58 status half-installed gpgconf:arm64 2.2.27-2+deb11u2
2023-05-16 13:38:58 status unpacked gpgconf:arm64 2.2.27-2+deb11u2
2023-05-16 13:38:59 install libksba8:arm64 <none> 1.5.0-3+deb11u2
2023-05-16 13:38:59 status half-installed libksba8:arm64 1.5.0-3+deb11u2
2023-05-16 13:39:00 status unpacked libksba8:arm64 1.5.0-3+deb11u2
2023-05-16 13:39:01 install libnpth0:arm64 <none> 1.6-3
2023-05-16 13:39:01 status half-installed libnpth0:arm64 1.6-3
2023-05-16 13:39:02 status unpacked libnpth0:arm64 1.6-3
2023-05-16 13:39:03 install dirmngr:arm64 <none> 2.2.27-2+deb11u2
2023-05-16 13:39:03 status half-installed dirmngr:arm64 2.2.27-2+deb11u2
2023-05-16 13:39:05 status unpacked dirmngr:arm64 2.2.27-2+deb11u2
2023-05-16 13:39:06 install fonts-dejavu-core:all <none> 2.37-2
2023-05-16 13:39:06 status half-installed fonts-dejavu-core:all 2.37-2
2023-05-16 13:39:07 status unpacked fonts-dejavu-core:all 2.37-2
2023-05-16 13:39:08 install fontconfig-config:all <none> 2.13.1-4.2
2023-05-16 13:39:08 status half-installed fontconfig-config:all 2.13.1-4.2
2023-05-16 13:39:20 status unpacked fontconfig-config:all 2.13.1-4.2
2023-05-16 13:39:20 install libcurl3-gnutls:arm64 <none> 7.74.0-1.3+deb11u7
2023-05-16 13:39:20 status half-installed libcurl3-gnutls:arm64 7.74.0-1.3+deb11u7
2023-05-16 13:39:21 status unpacked libcurl3-gnutls:arm64 7.74.0-1.3+deb11u7
2023-05-16 13:39:21 install libexpat1:arm64 <none> 2.2.10-2+deb11u5
2023-05-16 13:39:21 status half-installed libexpat1:arm64 2.2.10-2+deb11u5
2023-05-16 13:39:22 status unpacked libexpat1:arm64 2.2.10-2+deb11u5
2023-05-16 13:39:23 install liberror-perl:all <none> 0.17029-1
2023-05-16 13:39:23 status half-installed liberror-perl:all 0.17029-1
2023-05-16 13:39:23 status unpacked liberror-perl:all 0.17029-1
2023-05-16 13:39:24 install git-man:all <none> 1:2.30.2-1+deb11u2
2023-05-16 13:39:24 status half-installed git-man:all 1:2.30.2-1+deb11u2
2023-05-16 13:39:24 status unpacked git-man:all 1:2.30.2-1+deb11u2
2023-05-16 13:39:27 install git:arm64 <none> 1:2.30.2-1+deb11u2
2023-05-16 13:39:27 status half-installed git:arm64 1:2.30.2-1+deb11u2
2023-05-16 13:39:34 status unpacked git:arm64 1:2.30.2-1+deb11u2
2023-05-16 13:39:35 install gnupg-l10n:all <none> 2.2.27-2+deb11u2
2023-05-16 13:39:35 status half-installed gnupg-l10n:all 2.2.27-2+deb11u2
2023-05-16 13:39:38 status unpacked gnupg-l10n:all 2.2.27-2+deb11u2
2023-05-16 13:39:40 install gnupg-utils:arm64 <none> 2.2.27-2+deb11u2
2023-05-16 13:39:40 status half-installed gnupg-utils:arm64 2.2.27-2+deb11u2
2023-05-16 13:39:41 status unpacked gnupg-utils:arm64 2.2.27-2+deb11u2
2023-05-16 13:39:41 install libsqlite3-0:arm64 <none> 3.34.1-3
2023-05-16 13:39:41 status half-installed libsqlite3-0:arm64 3.34.1-3
2023-05-16 13:39:42 status unpacked libsqlite3-0:arm64 3.34.1-3
2023-05-16 13:39:42 install gpg:arm64 <none> 2.2.27-2+deb11u2
2023-05-16 13:39:42 status half-installed gpg:arm64 2.2.27-2+deb11u2
2023-05-16 13:39:43 status unpacked gpg:arm64 2.2.27-2+deb11u2
2023-05-16 13:39:43 install pinentry-curses:arm64 <none> 1.1.0-4
2023-05-16 13:39:43 status half-installed pinentry-curses:arm64 1.1.0-4
2023-05-16 13:39:44 status unpacked pinentry-curses:arm64 1.1.0-4
2023-05-16 13:39:44 install gpg-agent:arm64 <none> 2.2.27-2+deb11u2
2023-05-16 13:39:44 status half-installed gpg-agent:arm64 2.2.27-2+deb11u2
2023-05-16 13:39:45 status unpacked gpg-agent:arm64 2.2.27-2+deb11u2
2023-05-16 13:39:47 install gpg-wks-client:arm64 <none> 2.2.27-2+deb11u2
2023-05-16 13:39:47 status half-installed gpg-wks-client:arm64 2.2.27-2+deb11u2
2023-05-16 13:39:47 status unpacked gpg-wks-client:arm64 2.2.27-2+deb11u2
2023-05-16 13:39:47 install gpg-wks-server:arm64 <none> 2.2.27-2+deb11u2
2023-05-16 13:39:47 status half-installed gpg-wks-server:arm64 2.2.27-2+deb11u2
2023-05-16 13:39:48 status unpacked gpg-wks-server:arm64 2.2.27-2+deb11u2
2023-05-16 13:39:48 install gpgsm:arm64 <none> 2.2.27-2+deb11u2
2023-05-16 13:39:48 status half-installed gpgsm:arm64 2.2.27-2+deb11u2
2023-05-16 13:39:49 status unpacked gpgsm:arm64 2.2.27-2+deb11u2
2023-05-16 13:39:49 install gnupg:all <none> 2.2.27-2+deb11u2
2023-05-16 13:39:49 status half-installed gnupg:all 2.2.27-2+deb11u2
2023-05-16 13:39:50 status unpacked gnupg:all 2.2.27-2+deb11u2
2023-05-16 13:39:50 install libpng16-16:arm64 <none> 1.6.37-3
2023-05-16 13:39:50 status half-installed libpng16-16:arm64 1.6.37-3
2023-05-16 13:39:50 status unpacked libpng16-16:arm64 1.6.37-3
2023-05-16 13:39:51 install libfreetype6:arm64 <none> 2.10.4+dfsg-1+deb11u1
2023-05-16 13:39:51 status half-installed libfreetype6:arm64 2.10.4+dfsg-1+deb11u1
2023-05-16 13:39:51 status unpacked libfreetype6:arm64 2.10.4+dfsg-1+deb11u1
2023-05-16 13:39:52 install libfontconfig1:arm64 <none> 2.13.1-4.2
2023-05-16 13:39:52 status half-installed libfontconfig1:arm64 2.13.1-4.2
2023-05-16 13:39:53 status unpacked libfontconfig1:arm64 2.13.1-4.2
2023-05-16 13:39:53 install tini:arm64 <none> 0.19.0-1
2023-05-16 13:39:53 status half-installed tini:arm64 0.19.0-1
2023-05-16 13:39:54 status unpacked tini:arm64 0.19.0-1
2023-05-16 13:39:55 install unzip:arm64 <none> 6.0-26+deb11u1
2023-05-16 13:39:55 status half-installed unzip:arm64 6.0-26+deb11u1
2023-05-16 13:39:55 status unpacked unzip:arm64 6.0-26+deb11u1
2023-05-16 13:39:56 startup packages configure
2023-05-16 13:39:56 configure libksba8:arm64 1.5.0-3+deb11u2 <none>
2023-05-16 13:39:56 status unpacked libksba8:arm64 1.5.0-3+deb11u2
2023-05-16 13:39:56 status half-configured libksba8:arm64 1.5.0-3+deb11u2
2023-05-16 13:39:56 status installed libksba8:arm64 1.5.0-3+deb11u2
2023-05-16 13:39:56 configure libexpat1:arm64 2.2.10-2+deb11u5 <none>
